Date,.SSEC,.VHSI,.SSE180VWI,.CSI000952,.CSI300FS
1/14/1993,1086.43,,,,
1/15/1993,1063.76,,,,
1/18/1993,1055.32,,,,
1/19/1993,991.83,,,,
1/20/1993,1043.31,,,,
1/21/1993,1074.26,,,,
1/22/1993,1100.31,,,,
1/27/1993,1162.44,,,,
1/28/1993,1150.37,,,,
1/29/1993,1198.48,,,,
2/1/1993,1278.5,,,,
2/2/1993,1310.58,,,,
2/3/1993,1300.56,,,,
2/4/1993,1371.58,,,,
2/5/1993,1332.96,,,,
2/8/1993,1393.17,,,,
2/9/1993,1474.92,,,,
2/10/1993,1454.46,,,,
2/11/1993,1397.38,,,,
2/12/1993,1458.76,,,,
2/15/1993,1536.82,,,,
2/16/1993,1513.48,,,,
2/17/1993,1504,,,,
2/18/1993,1508.22,,,,
2/19/1993,1499.74,,,,
2/22/1993,1456.29,,,,
2/23/1993,1367.36,,,,
2/24/1993,1264.96,,,,
2/25/1993,1410.36,,,,
2/26/1993,1339.88,,,,
3/1/1993,1199.73,,,,
3/2/1993,1245.11,,,,
3/3/1993,1231.77,,,,
3/4/1993,1159.13,,,,
3/5/1993,1109,,,,
3/8/1993,1209.65,,,,
3/9/1993,1137.79,,,,
3/10/1993,1188.97,,,,
3/11/1993,1261.8,,,,
3/12/1993,1236.37,,,,
3/15/1993,1171,,,,
3/16/1993,1222.55,,,,
3/17/1993,1202.85,,,,
3/18/1993,1184.48,,,,
3/19/1993,1174.99,,,,
3/22/1993,1036.92,,,,
3/23/1993,971.25,,,,
3/24/1993,956.97,,,,
3/25/1993,945.42,,,,
3/26/1993,1039.76,,,,
3/29/1993,970.4,,,,
3/30/1993,958.05,,,,
3/31/1993,925.91,,,,
4/1/1993,947.23,,,,
4/2/1993,944.01,,,,
4/5/1993,947.87,,,,
4/6/1993,1059.62,,,,
4/7/1993,1099.62,,,,
4/8/1993,1238,,,,
4/9/1993,1243.02,,,,
4/12/1993,1203.54,,,,
4/13/1993,1297.36,,,,
4/14/1993,1272.39,,,,
4/15/1993,1278.84,,,,
4/16/1993,1214.75,,,,
4/19/1993,1223.22,,,,
4/20/1993,1235.52,,,,
4/21/1993,1222.56,,,,
4/22/1993,1267.35,,,,
4/23/1993,1260.25,,,,
4/26/1993,1345.61,,,,
4/27/1993,1363.44,,,,
4/28/1993,1372.5,,,,
4/29/1993,1349.68,,,,
4/30/1993,1358.78,,,,
5/3/1993,1352.24,,,,
5/4/1993,1241.16,,,,
5/5/1993,1246.82,,,,
5/6/1993,1162.92,,,,
5/7/1993,1199.81,,,,
5/10/1993,1128.29,,,,
5/11/1993,1136.74,,,,
5/12/1993,1140.05,,,,
5/13/1993,1177.28,,,,
5/14/1993,1167.47,,,,
5/17/1993,1140.04,,,,
5/18/1993,1130.26,,,,
5/19/1993,1147.22,,,,
5/20/1993,1165.4,,,,
5/21/1993,1143.97,,,,
5/24/1993,1026.13,,,,
5/25/1993,997.95,,,,
5/26/1993,995.45,,,,
5/27/1993,963.61,,,,
5/28/1993,972.77,,,,
5/31/1993,935.48,,,,
6/1/1993,928.58,,,,
6/2/1993,1081.2,,,,
6/3/1993,1018.29,,,,
6/4/1993,1004.3,,,,
6/7/1993,1064.98,,,,
6/8/1993,1074.58,,,,
6/9/1993,1065.19,,,,
6/10/1993,1044.44,,,,
6/11/1993,1047,,,,
6/14/1993,1000.43,,,,
6/15/1993,1001.61,,,,
6/16/1993,1004.24,,,,
6/17/1993,998,,,,
6/18/1993,1005.98,,,,
6/21/1993,977.61,,,,
6/22/1993,981.13,,,,
6/23/1993,986.02,,,,
6/24/1993,980.17,,,,
6/25/1993,1006.64,,,,
6/28/1993,1002.42,,,,
6/29/1993,1028.44,,,,
6/30/1993,1007.05,,,,
7/1/1993,997.53,,,,
7/2/1993,986.98,,,,
7/5/1993,952.31,,,,
7/6/1993,897.64,,,,
7/7/1993,903.79,,,,
7/8/1993,896.16,,,,
7/9/1993,868.57,,,,
7/12/1993,845.52,,,,
7/13/1993,870.05,,,,
7/14/1993,836.39,,,,
7/15/1993,838.7,,,,
7/16/1993,846.87,,,,
7/19/1993,836.98,,,,
7/20/1993,808.2,,,,
7/21/1993,811.7,,,,
7/22/1993,815.53,,,,
7/23/1993,813.54,,,,
7/26/1993,787.81,,,,
7/27/1993,791.62,,,,
7/28/1993,798.33,,,,
7/29/1993,806.67,,,,
7/30/1993,881.07,,,,
8/2/1993,843.27,,,,
8/3/1993,832.72,,,,
8/4/1993,850.54,,,,
8/5/1993,849.3,,,,
8/6/1993,855.52,,,,
8/9/1993,885.27,,,,
8/10/1993,862.08,,,,
8/11/1993,883.02,,,,
8/12/1993,917.04,,,,
8/13/1993,947.26,,,,
8/16/1993,1023.87,,,,
8/17/1993,974.11,,,,
8/18/1993,947.93,,,,
8/19/1993,968.51,,,,
8/20/1993,946.54,,,,
8/23/1993,893.23,,,,
8/24/1993,894.44,,,,
8/25/1993,911.4,,,,
8/26/1993,903.91,,,,
8/27/1993,894.59,,,,
8/30/1993,899.27,,,,
8/31/1993,895.68,,,,
9/1/1993,893.99,,,,
9/2/1993,901.39,,,,
9/3/1993,922.7,,,,
9/6/1993,947.53,,,,
9/7/1993,909.04,,,,
9/8/1993,909.13,,,,
9/9/1993,901.66,,,,
9/10/1993,903.56,,,,
9/13/1993,879.24,,,,
9/14/1993,876.62,,,,
9/15/1993,880.78,,,,
9/16/1993,875.08,,,,
9/17/1993,881.41,,,,
9/20/1993,875,,,,
9/21/1993,890.23,,,,
9/22/1993,881.24,,,,
9/23/1993,884.02,,,,
9/24/1993,875.81,,,,
9/27/1993,880.98,,,,
9/28/1993,898.15,,,,
9/29/1993,886.12,,,,
9/30/1993,890.27,,,,
10/4/1993,892.55,,,,
10/5/1993,885.86,,,,
10/6/1993,885.04,,,,
10/7/1993,887.62,,,,
10/8/1993,874.76,,,,
10/11/1993,868.38,,,,
10/12/1993,871.42,,,,
10/13/1993,859.7,,,,
10/14/1993,855.04,,,,
10/15/1993,856.92,,,,
10/18/1993,835.25,,,,
10/19/1993,839.6,,,,
10/20/1993,843.85,,,,
10/21/1993,832.25,,,,
10/22/1993,818.81,,,,
10/25/1993,784.97,,,,
10/26/1993,783.23,,,,
10/27/1993,778.33,,,,
10/28/1993,824.66,,,,
10/29/1993,814.74,,,,
11/1/1993,816.71,,,,
11/2/1993,812.67,,,,
11/3/1993,805.71,,,,
11/4/1993,804.26,,,,
11/5/1993,814.39,,,,
11/8/1993,836.99,,,,
11/9/1993,846.15,,,,
11/10/1993,833.17,,,,
11/11/1993,848.27,,,,
11/12/1993,865.97,,,,
11/15/1993,890.46,,,,
11/16/1993,880.33,,,,
11/17/1993,887.65,,,,
11/18/1993,903.07,,,,
11/19/1993,924.67,,,,
11/22/1993,949.77,,,,
11/23/1993,957.95,,,,
11/24/1993,953.23,,,,
11/25/1993,986.69,,,,
11/26/1993,965.39,,,,
11/29/1993,972.96,,,,
11/30/1993,984.93,,,,
12/1/1993,974.8,,,,
12/2/1993,972.8,,,,
12/3/1993,980.67,,,,
12/6/1993,995.72,,,,
12/7/1993,1022.34,,,,
12/8/1993,1009.67,,,,
12/9/1993,984.9,,,,
12/10/1993,978.57,,,,
12/13/1993,950.77,,,,
12/14/1993,925.2,,,,
12/15/1993,940.61,,,,
12/16/1993,908.08,,,,
12/17/1993,901.7,,,,
12/20/1993,783.79,,,,
12/21/1993,840.34,,,,
12/22/1993,821.19,,,,
12/23/1993,833.77,,,,
12/24/1993,834.39,,,,
